,Name,Manufacturer,Image,Description
52,Milk Duds,Hershey,,"A caramel candy, historically enrobed with milk chocolate and currently enrobed with a confectionery coating made from cocoa and vegetable oil."
53,Milky Way,"Mars, Inc.",,Pictured are a larger American (left) and a smaller European (right) Milky Way bar
54,Peppermint bark,,,"A chocolate confection that consists of peppermint candy pieces, such as candy canes, in white chocolate on top of dark chocolate, but peppermint bark can refer to any chocolate with peppermint candy pieces in it."
55,Reese's Peanut Butter Cup,Hershey,,Peanut butter covered in milk chocolate
56,Rolo,"U.S.-Hershey, UK-NestlÃ©",,Chocolate-coated caramels
57,Snickers,"Mars, Inc.",,Peanuts and caramel covered in milk chocolate
58,Twix,"Mars, Inc.",,Caramel and cookie covered in milk chocolate
59,Whoppers,Hershey,,Chocolate-covered malted milk balls
60,Chocolate fish,,,Pink or white marshmallow covered in a thin layer of milk chocolate.
61,Pineapple Lumps,,,"Flavoured chocolate covered confectionery with a soft, chewy pineapple-flavoured middle."
62,Jaffas,,,"Small round sweet consisting of a soft chocolate centre with a hard covering of orange flavoured, red coloured confectionery."
63,Musk stick,,,Semi-soft sticks of fondant (usually pink) with a floral aroma.
64,Candel Astra,Penino & Corona,,Pink colored taffy with fantasy flavor and a crunchy consistence that becomes chewy when moist.
65,GarrapiÃ±ada,,,Sugar confited peanuts sold on the street. Vendors use to tightly package it in elongated cellophane bags.
66,Zabala,,,Dulce de leche candies made in Uruguay
67,Chocopunch,CompaÃ±Ã­a Nacional de Chocolates de PerÃº S.A.,,"Cream confection with three flavors (chocolate, hazelnut, and toffee) combined in one 15 gram container."
68,King Kong milk candy,,,"Made of milk cookies, filled with Peruvian blancmange, some pineapple sweet and in some cases peanuts, with cookies within its layers. weights are one-half and one kilogram sizes."
69,Teja,,,Manjar blanco coated in fondant.
70,Chancacas,,,Traditional Colombian coconut candy
71,Supercoco,,,Coconut candy
72,Garoto,Garoto,,Assorted chocolates from Brazil
73,Mariola,"DaColonia, between others.",,Small flat blocks made of banana meat
74,PÃ©-de-moleque,,,"Rapadura, Molasses and peanuts."
75,PaÃ§oca,,,"Candy made out of ground peanuts, sugar and salt"
76,Trident,Cadbury,,A well-known candy and gum brand in Brazil
77,Mantecol,Cadbury,,Peanut butter nougat bar
78,Palitos de la selva,Cadbury,,"""Jungle stickies"", A taffie stick divided along in two flavors and two colors. Envelopes show information on various animals in its printing."
79,Take 5 (candy),Hershey,,"Consists of Reese's peanut butter, peanuts, pretzel, caramel and chocolate."
80,Fudge,Various,,"Fudge is a type of confectionery which is made by mixing sugar, butter and milk."
81,Almond Joy,Hershey,,"Consists of a coconut-based center topped with two almonds, the combination enrobed in a layer of milk chocolate."
82,Aplets & Cotlets,Liberty Orchards,,A lokum-type confection baked with apples and apricots.
83,Ayds,The Campana Company (original producer),,"Ayds was an appetite-suppressant candy which enjoyed strong sales in the 1970s and early 1980s. By the mid-1980s, public awareness of the disease AIDS caused problems for the brand due to the phonetic similarity of the names. While initially sales were not affected, by 1988 the chair of Dep Corporation announced that the company was seeking a new name because sales had dropped as much as 50% due to publicity about the disease.[26] While the product's name was changed to Diet Ayds (Aydslim in Britain), it was eventually withdrawn from the market."
84,Big Hunk,Annabelle Candy Company,,Bar of roasted peanuts covered in honey sweetened nougat.
85,Bit-O-Honey,NestlÃ©,,Introduced in 1924 and was made by the Schutter-Johnson Company. Acquired by the NestlÃ© Company in 1984
86,Candy Raisins,Lake Country Candies,,"A soft jujube candy popular in Milwaukee, Wisconsin, United States. The candy was produced from the 1930s until 2008, discontinued, then revived in 2014."
87,Good & Plenty,Hershey,,"Licorice candy first produced in 1893, and has been referred to as the oldest branded candy in the U.S."
88,Mounds,Hershey,,"Similar to Almond Joy, it consists of a coconut based center; however, it is enrobed with dark chocolate rather than milk chocolate and does not contain almonds."
89,Reese's Pieces,Hershey,,"Peanut Butter candy, circular in shape and covered in candy shells that are colored yellow, orange, or brown."
90,U-No Bar,Annabelle Candy Company,,"Truffle type bar with almond bits, covered in chocolate and comes wrapped in a silver foil-like wrapper."
91,Jolly Rancher,The Hershey Company,,Fruit flavoured hard candy
